Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],<20_Phaeo_[ug/L],>20_Chl_A_[ug/L],>20_Phaeo_[ug/L],Total_Chl_A_[ug/L],Total_Phaeo_[ug/L],Fraction Chl >20,Data flag
TGX202109,MID4,B,2021-09-16T01:21:04,-145.9547,59.7942,86,14,19.58,6,0.29,0.13,0.18,0.12,0.47,0.25,0.39,1
TGX202109,MID4,B,2021-09-16T01:19:46,-145.9547,59.7942,86,14,29.81,5,0.21,0.12,0.07,0.11,0.28,0.23,0.24,1
TGX202109,MID4,B,2021-09-16T01:18:49,-145.9547,59.7942,86,14,40.68,4,0.10,0.10,0.04,0.06,0.14,0.16,0.26,1
TGX202109,MID4,B,2021-09-16T01:17:53,-145.9547,59.7942,86,14,50.17,3,0.09,0.07,0.02,0.03,0.11,0.10,0.18,1
TGX202109,MID4,B,2021-09-16T01:16:48,-145.9547,59.7942,86,14,74.7,2,0.07,0.07,0.01,0.01,0.08,0.09,0.17,1
TGX202109,MID3,B,2021-09-16T03:34:00,-145.8037,59.9495,85,16,2.77,9,0.34,0.20,0.40,0.11,0.74,0.31,0.54,1
TGX202109,MID3,B,2021-09-16T03:32:59,-145.8037,59.9495,85,16,9.4,8,0.42,0.23,0.44,0.06,0.86,0.29,0.51,1
TGX202109,MID3,B,2021-09-16T03:32:04,-145.8037,59.9495,85,16,20.37,6,0.45,0.21,0.14,0.06,0.59,0.27,0.24,1
TGX202109,MID3,B,2021-09-16T03:30:47,-145.8037,59.9495,85,16,31,5,0.09,0.08,0.02,0.03,0.11,0.11,0.16,1
TGX202109,MID3,B,2021-09-16T03:29:38,-145.8037,59.9495,85,16,41.62,4,0.08,0.07,0.01,0.04,0.09,0.10,0.15,1
TGX202109,MID3,B,2021-09-16T03:27:49,-145.8037,59.9495,85,16,50.93,3,0.06,0.05,0.01,0.02,0.07,0.08,0.15,1
TGX202109,MID3,B,2021-09-16T03:26:46,-145.8037,59.9495,85,16,77.52,2,0.04,0.07,0.01,0.01,0.05,0.08,0.11,1
TGX202109,MID2,B,2021-09-16T05:39:38,-145.6465,60.1025,118,18,3.26,10,0.40,0.22,0.49,0.18,0.89,0.39,0.55,1
TGX202109,MID2,B,2021-09-16T05:38:32,-145.6465,60.1025,118,18,10.34,9,0.42,0.20,0.27,0.13,0.69,0.33,0.40,1
TGX202109,MID2,B,2021-09-16T05:37:41,-145.6465,60.1025,118,18,20.16,8,0.30,0.20,0.18,0.12,0.48,0.32,0.37,1
TGX202109,MID2,B,2021-09-16T05:36:39,-145.6465,60.1025,118,18,30.27,7,0.20,0.11,0.07,0.10,0.26,0.22,0.26,1
TGX202109,MID2,B,2021-09-16T05:35:41,-145.6465,60.1025,118,18,39.78,6,0.08,0.08,0.02,0.06,0.10,0.14,0.21,1
TGX202109,MID2,B,2021-09-16T05:33:54,-145.6465,60.1025,118,18,48.71,5,0.06,0.06,0.01,0.02,0.07,0.08,0.16,1
TGX202109,MID2,B,2021-09-16T05:32:41,-145.6465,60.1025,118,18,74.15,4,0.04,0.04,0.01,0.01,0.04,0.05,0.17,1
TGX202109,MID1,B,2021-09-16T07:19:03,-145.4902,60.2462,17,20,2.6,5,0.47,0.21,0.19,0.05,0.66,0.27,0.29,1
TGX202109,MID1,B,2021-09-16T07:17:45,-145.4902,60.2462,17,20,9.13,3,0.44,0.22,0.16,0.05,0.60,0.28,0.27,1
TGX202109,MID1,B,2021-09-16T07:16:29,-145.4902,60.2462,17,20,13.3,1,0.46,0.19,0.18,0.05,0.64,0.24,0.29,1
TGX202109,PWS3,B,2021-09-16T18:04:39,-147.6667,60.6697,748,21,2.68,15,0.43,0.31,0.02,0.02,0.45,0.33,0.06,1
TGX202109,PWS3,B,2021-09-16T18:03:18,-147.6667,60.6697,748,21,10.54,14,0.49,0.28,0.03,0.02,0.52,0.30,0.05,1
TGX202109,PWS3,B,2021-09-16T18:02:19,-147.6667,60.6697,748,21,20.21,13,0.32,0.22,0.03,0.02,0.35,0.24,0.09,1
TGX202109,PWS3,B,2021-09-16T18:01:28,-147.6667,60.6697,748,21,30.7,12,0.15,0.15,0.02,0.02,0.16,0.17,0.10,1
TGX202109,PWS3,B,2021-09-16T18:00:34,-147.6667,60.6697,748,21,41.36,11,0.05,0.08,0.01,0.01,0.06,0.09,0.14,1
TGX202109,PWS3,B,2021-09-16T17:59:28,-147.6667,60.6697,748,21,51.29,10,0.04,0.06,0.01,0.00,0.05,0.07,0.11,1
TGX202109,PWS3,B,2021-09-16T17:58:12,-147.6667,60.6697,748,21,75.69,9,0.02,0.04,0.00,0.00,0.02,0.04,0.18,1
TGX202109,PWS2,B,2021-09-16T21:54:55,-147.8048,60.5343,727,24,2.36,10,0.62,0.33,0.03,0.03,0.64,0.36,0.04,1
TGX202109,PWS2,B,2021-09-16T21:53:58,-147.8048,60.5343,727,24,9.88,9,0.55,0.38,0.02,0.03,0.57,0.41,0.03,1
TGX202109,PWS2,B,2021-09-16T21:53:01,-147.8048,60.5343,727,24,20.27,7,0.22,0.21,0.02,0.02,0.24,0.23,0.08,1
TGX202109,PWS2,B,2021-09-16T21:52:05,-147.8048,60.5343,727,24,30.48,6,0.13,0.17,0.01,0.03,0.14,0.19,0.06,1
TGX202109,PWS2,B,2021-09-16T21:51:05,-147.8048,60.5343,727,24,40.66,5,0.07,0.10,0.01,0.01,0.07,0.11,0.07,1
TGX202109,PWS2,B,2021-09-16T21:50:03,-147.8048,60.5343,727,24,50.26,3,0.04,0.08,0.00,0.01,0.05,0.09,0.07,1
TGX202109,PWS2,B,2021-09-16T21:48:36,-147.8048,60.5343,727,24,75.93,2,0.01,0.05,0.00,0.01,0.01,0.06,0.17,1
TGX202109,PWS1,B,2021-09-17T01:37:12,-147.9425,60.3733,350,25,2.72,14,0.65,0.40,0.04,0.03,0.69,0.43,0.06,1
TGX202109,PWS1,B,2021-09-17T01:36:01,-147.9425,60.3733,350,25,9.89,13,0.57,0.35,0.03,0.04,0.59,0.38,0.04,1
TGX202109,PWS1,B,2021-09-17T01:35:03,-147.9425,60.3733,350,25,19.94,12,0.35,0.28,0.02,0.02,0.37,0.30,0.05,1
TGX202109,PWS1,B,2021-09-17T01:33:58,-147.9425,60.3733,350,25,30,11,0.17,0.16,0.01,0.02,0.17,0.18,0.04,1
TGX202109,PWS1,B,2021-09-17T01:32:53,-147.9425,60.3733,350,25,39.96,10,0.07,0.12,0.00,0.02,0.07,0.13,0.06,1
TGX202109,PWS1,B,2021-09-17T01:31:58,-147.9425,60.3733,350,25,50.62,9,0.03,0.07,0.00,0.01,0.04,0.08,0.08,1
TGX202109,PWS1,B,2021-09-17T01:30:30,-147.9425,60.3733,350,25,75.17,8,0.02,0.06,0.00,0.02,0.02,0.07,0.16,1
TGX202109,KIP2,B,2021-09-17T03:19:30,-147.9863,60.2782,580,26,2.6,14,0.60,0.28,0.05,0.04,0.65,0.32,0.07,1
TGX202109,KIP2,B,2021-09-17T03:18:13,-147.9863,60.2782,580,26,9.67,13,0.57,0.41,0.06,0.00,0.63,0.42,0.09,1
TGX202109,KIP2,B,2021-09-17T03:17:16,-147.9863,60.2782,580,26,20.43,12,0.28,0.27,0.02,0.02,0.30,0.29,0.07,1
TGX202109,KIP2,B,2021-09-17T03:16:27,-147.9863,60.2782,580,26,30.76,11,0.14,0.16,0.01,0.02,0.15,0.17,0.06,1
TGX202109,KIP2,B,2021-09-17T03:15:34,-147.9863,60.2782,580,26,40.83,10,0.08,0.11,0.00,0.02,0.09,0.13,0.05,1
TGX202109,KIP2,B,2021-09-17T03:14:34,-147.9863,60.2782,580,26,50.74,9,0.03,0.08,0.00,0.01,0.04,0.09,0.08,1
TGX202109,KIP2,B,2021-09-17T03:13:25,-147.9863,60.2782,580,26,76.11,8,0.02,0.06,0.00,0.01,0.02,0.07,0.08,1
TGX202109,GAK9,B,2021-09-18T20:04:33,-148.3447,58.6775,275,28,3.48,14,0.45,0.14,0.06,0.03,0.51,0.17,0.12,1
TGX202109,GAK9,B,2021-09-18T20:03:33,-148.3447,58.6775,275,28,9.72,13,0.42,0.18,0.06,0.02,0.48,0.21,0.12,1
TGX202109,GAK9,B,2021-09-18T20:02:36,-148.3447,58.6775,275,28,20.52,11,0.42,0.17,0.06,0.03,0.47,0.21,0.12,1
TGX202109,GAK9,B,2021-09-18T20:01:35,-148.3447,58.6775,275,28,29.39,10,0.20,0.10,0.03,0.02,0.22,0.13,0.12,1
TGX202109,GAK9,B,2021-09-18T20:00:40,-148.3447,58.6775,275,28,40.6,9,0.12,0.07,0.01,0.02,0.13,0.09,0.10,1
TGX202109,GAK9,B,2021-09-18T19:59:42,-148.3447,58.6775,275,28,51.42,8,0.10,0.07,0.01,0.02,0.11,0.09,0.12,1
TGX202109,GAK9,B,2021-09-18T19:58:27,-148.3447,58.6775,275,28,75.56,7,0.00,0.02,0.02,-0.02,0.03,0.00,0.83,1
TGX202109,GAK10,B,2021-09-18T23:04:52,-148.2,58.5283,1456,30,3.25,15,0.46,0.24,0.06,0.03,0.52,0.26,0.12,1
TGX202109,GAK10,B,2021-09-18T23:03:45,-148.2,58.5283,1456,30,9.12,14,0.46,0.22,0.07,0.03,0.53,0.25,0.14,1
TGX202109,GAK10,B,2021-09-18T23:02:41,-148.2,58.5283,1456,30,18.67,13,0.53,0.18,0.06,0.04,0.59,0.23,0.11,1
TGX202109,GAK10,B,2021-09-18T23:01:31,-148.2,58.5283,1456,30,29.8,12,0.19,0.10,0.04,0.04,0.23,0.14,0.16,1
TGX202109,GAK10,B,2021-09-18T23:00:32,-148.2,58.5283,1456,30,38.58,11,0.16,0.07,0.03,0.02,0.19,0.09,0.16,1
TGX202109,GAK10,B,2021-09-18T22:59:25,-148.2,58.5283,1456,30,52.16,10,0.09,0.05,0.02,0.01,0.12,0.07,0.18,1
TGX202109,GAK10,B,2021-09-18T22:58:08,-148.2,58.5283,1456,30,73.56,9,0.03,0.03,0.01,0.01,0.04,0.04,0.21,1
TGX202109,GAK11,B,2021-09-19T03:17:28,-148.0773,58.3903,1443,31,3.06,15,0.45,0.18,0.04,0.02,0.49,0.19,0.09,1
TGX202109,GAK11,B,2021-09-19T03:16:16,-148.0773,58.3903,1443,31,9.5,14,0.49,0.19,0.05,0.02,0.54,0.21,0.09,1
TGX202109,GAK11,B,2021-09-19T03:15:15,-148.0773,58.3903,1443,31,20.89,13,0.58,0.20,0.06,0.02,0.64,0.23,0.10,1
TGX202109,GAK11,B,2021-09-19T03:14:14,-148.0773,58.3903,1443,31,29.74,12,0.55,0.20,0.05,0.04,0.60,0.24,0.09,1
TGX202109,GAK11,B,2021-09-19T03:13:03,-148.0773,58.3903,1443,31,39.97,11,0.16,0.10,0.03,0.03,0.19,0.13,0.16,1
TGX202109,GAK11,B,2021-09-19T03:12:00,-148.0773,58.3903,1443,31,51.3,10,0.10,0.07,0.02,0.03,0.12,0.10,0.20,1
TGX202109,GAK11,B,2021-09-19T03:10:53,-148.0773,58.3903,1443,31,76.29,9,0.04,0.02,0.01,0.01,0.05,0.03,0.24,1
TGX202109,GAK12,B,2021-09-19T05:24:34,-147.9367,58.2395,2170,32,4.18,15,0.53,0.18,0.08,0.02,0.61,0.20,0.13,1
TGX202109,GAK12,B,2021-09-19T05:23:07,-147.9367,58.2395,2170,32,9.11,14,0.53,0.21,0.07,0.02,0.60,0.24,0.12,1
