Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag,
SKQ202012S,GAK4,B,2020-09-02T20:40:09,-149.0508,59.4072,200,8,2.98,15,0.63,0.11,0.74,0.35,0.15,1.00,
SKQ202012S,GAK4,B,2020-09-02T20:37:30,-149.0508,59.4072,200,8,9.86,12,0.54,0.10,0.64,0.39,0.15,1.00,
SKQ202012S,GAK4,B,2020-09-02T20:35:37,-149.0508,59.4072,200,8,20.81,11,0.54,0.06,0.60,0.35,0.11,1.00,
SKQ202012S,GAK4,B,2020-09-02T20:33:36,-149.0508,59.4072,200,8,30.53,9,0.37,0.05,0.42,0.36,0.12,1.00,
SKQ202012S,GAK4,B,2020-09-02T20:31:50,-149.0508,59.4072,200,8,40.83,8,0.17,0.02,0.19,0.16,0.10,1.00,
SKQ202012S,GAK4,B,2020-09-02T20:29:51,-149.0508,59.4072,200,8,50.63,7,0.08,0.01,0.09,0.09,0.09,1.00,
SKQ202012S,GAK4,B,2020-09-02T20:27:26,-149.0508,59.4072,200,8,75.83,6,0.02,0.00,0.02,0.05,0.11,1.00,
SKQ202012S,GAK6,B,2020-09-03T02:48:21,-148.768,59.1168,151,11,3.19,13,1.14,0.05,1.19,0.64,0.04,1.00,
SKQ202012S,GAK6,B,2020-09-03T02:46:00,-148.768,59.1168,151,11,9.88,10,1.25,0.04,1.29,0.53,0.03,1.00,
SKQ202012S,GAK6,B,2020-09-03T02:44:09,-148.768,59.1168,151,11,20.13,9,0.68,0.02,0.70,0.52,0.03,1.00,
SKQ202012S,GAK6,B,2020-09-03T02:42:16,-148.768,59.1168,151,11,30.52,8,0.22,0.02,0.24,0.15,0.09,1.00,
SKQ202012S,GAK6,B,2020-09-03T02:40:28,-148.768,59.1168,151,11,40.35,7,0.05,0.01,0.05,0.06,0.10,1.00,
SKQ202012S,GAK6,B,2020-09-03T02:38:29,-148.768,59.1168,151,11,50.82,6,0.02,0.01,0.03,0.06,0.19,1.00,
SKQ202012S,GAK6,B,2020-09-03T02:36:12,-148.768,59.1168,151,11,76.04,5,0.01,0.00,0.01,0.04,0.23,1.00,
SKQ202012S,GAK7,B,2020-09-03T05:10:05,-148.6272,58.971,241,12,3.25,17,1.40,0.02,1.43,0.67,0.02,1.00,
SKQ202012S,GAK7,B,2020-09-03T05:07:34,-148.6272,58.971,241,12,10.18,14,1.36,0.01,1.38,0.72,0.01,1.00,
SKQ202012S,GAK7,B,2020-09-03T05:05:06,-148.6272,58.971,241,12,20.24,12,0.63,0.03,0.66,0.36,0.04,1.00,
SKQ202012S,GAK7,B,2020-09-03T05:02:53,-148.6272,58.971,241,12,30.69,11,0.26,0.02,0.28,0.15,0.06,1.00,
SKQ202012S,GAK7,B,2020-09-03T05:00:48,-148.6272,58.971,241,12,40.69,10,0.13,0.01,0.15,0.10,0.09,1.00,
SKQ202012S,GAK7,B,2020-09-03T04:58:39,-148.6272,58.971,241,12,50.31,9,0.10,0.01,0.11,0.07,0.10,1.00,
SKQ202012S,GAK7,B,2020-09-03T04:56:01,-148.6272,58.971,241,12,75.46,8,0.01,0.00,0.02,0.04,0.17,1.00,
SKQ202012S,GAK8,B,2020-09-03T18:12:31,-148.4895,58.8073,289,13,3.65,16,0.87,0.20,1.07,0.30,0.19,1.00,
SKQ202012S,GAK8,B,2020-09-03T18:09:34,-148.4895,58.8073,289,13,10.47,13,0.86,0.19,1.05,0.32,0.18,1.00,
SKQ202012S,GAK8,B,2020-09-03T18:07:31,-148.4895,58.8073,289,13,20.42,12,0.74,0.16,0.90,0.31,0.18,1.00,
SKQ202012S,GAK8,B,2020-09-03T18:05:37,-148.4895,58.8073,289,13,30.37,11,0.21,0.03,0.24,0.13,0.12,1.00,
SKQ202012S,GAK8,B,2020-09-03T18:03:40,-148.4895,58.8073,289,13,40.4,10,0.06,0.02,0.07,0.07,0.24,1.00,
