Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Pressure_[dbar],Bottle_Number,POC_[ug/L],TPC_[ug/L],PIC_[ug/L],Quality_flag
TGX201904,GAK9,B,2019-05-04T17:40:57,-148.3483,58.6763,277,50,75.78,1,46.2,52.7,6.6,1
TGX201904,GAK15,B,2019-05-05T18:35:11,-147.4972,57.7928,4543,58,11.93,10,124.5,130.5,6.1,1
TGX201904,GAK15,B,2019-05-05T18:33:36,-147.4972,57.7928,4543,58,28.8,4,78.4,82.3,3.9,1
TGX201904,GAK15,B,2019-05-05T18:32:22,-147.4972,57.7928,4543,58,51.02,2,54.5,52.9,-1.7,1
TGX201904,GAK15,B,2019-05-05T18:30:42,-147.4972,57.7928,4543,58,77.03,1,31.2,65.2,33.9,1
TGX201904,KOD5,B,2019-05-08T20:09:18,-150.7558,57.7808,85,71,9.15,12,95.8,120.2,24.4,1
TGX201904,KOD5,B,2019-05-08T20:06:57,-150.7558,57.7808,85,71,29.36,7,75.6,82.9,7.3,1
TGX201904,KOD5,B,2019-05-08T20:05:41,-150.7558,57.7808,85,71,50.15,4,76.1,78.3,2.2,1
TGX201904,KOD5,B,2019-05-08T20:03:53,-150.7558,57.7808,85,71,75.6,2,63.3,74.1,10.8,1
TGX201904,KOD10,B,2019-05-06T20:15:50,-149.7155,57.2038,2503,61,12.34,11,382.5,406.7,24.2,1
TGX201904,KOD10,B,2019-05-06T20:12:53,-149.7155,57.2038,2503,61,30.33,4,70.2,74.1,3.9,1
TGX201904,KOD10,B,2019-05-06T20:11:38,-149.7155,57.2038,2503,61,50.11,2,38.0,57.0,19.0,1
TGX201904,KOD10,B,2019-05-06T20:10:56,-149.7155,57.2038,2503,61,75.95,1,50.8,44.3,-6.5,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
