Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],SUNA,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ202010S,RES2.5,B,2020-07-02T19:35:57,-149.3572,60.0232,293.0,1,40.68,11,7.6199,7.589,3.2498,3.2481,0.0282,0.7857,2.283,2.9469,4.5048,1.5078,4.9741,0.3416,0.1589,96.106,3.71,309.67,324.479,104.206,109.12,99.48,6.9498,31.3604,31.3698,24.4698,24.4814
SKQ202010S,RES2.5,B,2020-07-02T19:37:59,-149.3572,60.0232,293.0,1,30.36,12,8.5112,8.4929,3.3142,3.3135,0.0688,0.6538,2.3997,3.1091,4.4775,2.0412,5.0,1.3146,0.1832,95.5232,13.0,322.781,337.946,110.729,115.892,100.0,5.8802,31.2484,31.2583,24.2551,24.2655
SKQ202010S,RES2.5,B,2020-07-02T19:39:42,-149.3572,60.0232,293.0,1,20.38,13,9.3004,9.1007,3.3634,3.3533,0.0948,0.5578,2.4394,3.1601,4.3753,2.7108,5.0,1.9401,0.2756,93.3421,61.0,323.477,339.467,112.781,117.895,100.0,5.1017,31.0704,31.1403,23.9965,24.082
SKQ202010S,RES2.5,B,2020-07-02T19:41:30,-149.3572,60.0232,293.0,1,10.1,14,10.8452,10.7904,3.48,3.482,0.0533,0.4731,2.4474,3.1695,4.2289,3.498,5.0,0.9444,0.4117,90.2198,375.0,313.134,327.525,112.777,117.878,100.0,4.4152,30.9227,30.9894,23.629,23.6903
SKQ202010S,RES2.5,B,2020-07-02T19:43:43,-149.3572,60.0232,293.0,1,2.68,15,12.5353,12.5813,3.4809,3.4803,0.021,0.4626,2.4321,3.145,3.9383,4.1312,4.9999,0.1682,0.6966,84.0176,1640.0,301.296,315.201,111.376,116.593,100.0,4.3298,29.5589,29.5174,22.2692,22.2285
SKQ202010S,RES2.5,B,2020-07-02T19:43:53,-149.3572,60.0232,293.0,1,2.69,16,12.5735,12.5849,3.481,3.4809,0.0202,0.4622,2.4253,3.1429,3.935,4.1381,4.9999,0.1496,0.6999,83.9479,1670.0,299.264,315.037,110.69,116.544,100.0,4.3265,29.5296,29.5201,22.2394,22.2299
SKQ202010S,GAK1,B,2020-07-02T21:39:02,-149.4668,59.845,269.7,2,50.65,1,7.7537,7.7011,3.2789,3.2765,0.023,0.8424,2.1289,2.7313,4.5357,0.7924,4.8706,0.2154,0.1315,96.7659,0.615,280.892,294.294,94.937,99.364,97.41,7.4098,31.5453,31.5677,24.5965,24.6214
SKQ202010S,GAK1,B,2020-07-02T21:41:48,-149.4668,59.845,269.7,2,40.49,2,8.5196,8.6236,3.3375,3.3443,0.032,0.7084,2.157,2.7725,4.5147,1.1575,4.9993,0.4307,0.1501,96.3177,1.59,280.616,293.163,96.445,100.975,99.99,6.3228,31.4809,31.4586,24.436,24.4031
SKQ202010S,GAK1,B,2020-07-02T21:44:00,-149.4668,59.845,269.7,2,30.56,3,9.3374,9.3351,3.3834,3.3835,0.0467,0.6607,2.2093,2.863,4.4661,1.6273,5.0,0.7854,0.1934,95.2797,4.92,284.13,300.294,99.263,104.907,100.0,5.9364,31.2384,31.2408,24.122,24.1242
SKQ202010S,GAK1,B,2020-07-02T21:45:46,-149.4668,59.845,269.7,2,27.39,4,9.4891,9.4782,3.3874,3.3872,0.0631,0.6518,2.1945,2.8265,4.4252,1.833,5.0,1.1788,0.2302,94.4077,7.98,280.614,294.642,98.298,103.193,100.0,5.8638,31.1479,31.1554,24.0275,24.0351
SKQ202010S,GAK1,B,2020-07-02T21:47:44,-149.4668,59.845,269.7,2,20.24,5,10.1181,10.1207,3.4245,3.4248,0.3438,0.5085,2.332,3.0059,3.761,2.4256,5.0,7.9158,0.8808,80.2359,31.6,299.6,312.651,106.273,110.91,100.0,4.7018,30.9845,30.9852,23.799,23.7991
SKQ202010S,GAK1,B,2020-07-02T21:47:53,-149.4668,59.845,269.7,2,20.19,6,10.1277,10.1257,3.4249,3.4251,0.3416,0.5241,2.3303,3.0069,3.6906,2.4373,5.0,7.862,0.9565,78.7327,32.4,299.037,312.708,106.093,110.941,100.0,4.8281,30.9807,30.9839,23.7945,23.7973
SKQ202010S,GAK1,B,2020-07-02T21:48:19,-149.4668,59.845,269.7,2,20.2,7,10.1357,10.1333,3.4252,3.4253,0.3449,0.3575,2.332,3.0176,3.6624,2.4367,5.0,7.9415,0.9872,78.1308,32.4,299.236,314.138,106.178,111.463,100.0,3.4776,30.9763,30.9795,23.7897,23.7926
SKQ202010S,GAK1,B,2020-07-02T21:48:25,-149.4668,59.845,269.7,2,20.1,8,10.146,10.1548,3.4252,3.426,0.2954,0.4559,2.3395,3.029,3.6499,2.4547,5.0,6.7532,1.0009,77.8633,33.8,300.521,315.594,106.652,112.023,100.0,4.2756,30.9681,30.9685,23.7817,23.7805
SKQ202010S,GAK1,B,2020-07-02T21:48:35,-149.4668,59.845,269.7,2,20.16,9,10.1451,10.1399,3.4252,3.4254,0.3328,0.4249,2.3373,3.024,3.6426,2.4481,5.0,7.6502,1.0088,77.7086,33.3,300.385,315.38,106.602,111.916,100.0,4.0238,30.9688,30.9744,23.7823,23.7876
SKQ202010S,GAK1,B,2020-07-02T21:51:03,-149.4668,59.845,269.7,2,13.33,10,11.4155,11.4189,3.5046,3.5046,0.0664,0.435,2.4383,3.1602,4.1106,2.9003,5.0,1.2566,0.5252,87.694,94.5,307.589,322.775,111.946,117.479,100.0,4.1054,30.6858,30.6827,23.3457,23.3427
SKQ202010S,GAK1,B,2020-07-02T21:52:45,-149.4668,59.845,269.7,2,10.25,11,12.298,12.3196,3.5158,3.5166,0.0413,0.3602,2.3768,3.0741,4.2029,3.0819,5.0,0.6555,0.4364,89.6646,144.0,292.766,307.6,108.079,113.599,100.0,3.4992,30.0739,30.0643,22.7119,22.7004
SKQ202010S,GAK1,B,2020-07-02T21:52:52,-149.4668,59.845,269.7,2,10.24,12,12.2385,12.3302,3.5152,3.5173,0.0374,0.4061,2.3774,3.0738,4.2179,3.0923,5.0,0.561,0.4221,89.9847,147.0,293.333,307.657,108.186,113.644,100.0,3.8714,30.1163,30.063,22.7557,22.6975
SKQ202010S,GAK1,B,2020-07-02T21:54:38,-149.4668,59.845,269.7,2,7.38,13,13.0652,13.0659,3.4501,3.4513,0.0289,0.3822,2.3504,3.0363,4.1328,3.2974,4.9999,0.3583,0.5036,88.1699,236.0,285.896,300.766,106.329,111.869,100.0,3.6778,28.86,28.8704,21.6293,21.6372
SKQ202010S,GAK1,B,2020-07-02T21:56:21,-149.4668,59.845,269.7,2,4.35,14,13.1193,13.1243,3.4001,3.3981,0.0253,0.385,2.3364,3.0134,4.0674,3.5454,4.9998,0.271,0.5675,86.7736,418.0,284.511,298.696,105.56,110.817,100.0,3.7001,28.3579,28.3352,21.2312,21.2127
SKQ202010S,GAK1,B,2020-07-02T21:58:49,-149.4668,59.845,269.7,2,2.1,15,13.2092,13.2174,3.3791,3.3784,0.0217,0.3877,2.3303,3.0075,4.0404,4.5695,4.9995,0.1843,0.5941,86.1972,4420.0,283.446,297.878,105.169,110.533,99.99,3.7221,28.098,28.0852,21.0135,21.002
SKQ202010S,GAK1,B,2020-07-02T21:59:25,-149.4668,59.845,269.7,2,2.41,16,13.2467,13.2741,3.377,3.3771,0.0212,0.3847,2.3296,3.0071,4.0457,4.2228,4.9996,0.1712,0.5889,86.3104,1990.0,283.266,297.729,105.149,110.565,99.99,3.6976,28.0508,28.0315,20.9699,20.9498
SKQ202010S,GAK1,B,2020-07-02T21:59:35,-149.4668,59.845,269.7,2,2.43,17,13.2693,13.2532,3.3765,3.377,0.0217,0.4085,2.3271,3.0049,4.0397,4.2137,4.9997,0.1837,0.5948,86.1817,1950.0,282.368,297.379,104.849,110.399,99.99,3.8906,28.0293,28.0462,20.949,20.9651
SKQ202010S,GAK1,B,2020-07-02T21:59:42,-149.4668,59.845,269.7,2,2.43,18,13.2785,13.2599,3.3768,3.377,0.0216,0.3709,2.3308,3.007,4.0479,4.2196,4.9997,0.1825,0.5867,86.3578,1980.0,283.192,297.657,105.172,110.514,99.99,3.5861,28.0257,28.0413,20.9444,20.96
SKQ202010S,GAK1,B,2020-07-03T00:35:16,-149.4653,59.843,270.2,3,266.66,1,5.9543,5.9541,3.3098,3.31,0.0129,3.3528,0.917,1.0431,3.6962,0.0113,0.2227,-0.0269,0.9504,78.8518,0.0,73.192,76.808,24.077,25.267,4.45,27.7692,33.4822,33.4841,26.359,26.3605
SKQ202010S,GAK1,B,2020-07-03T00:36:14,-149.4653,59.843,270.2,3,266.58,2,5.9527,5.9528,3.3099,3.3101,0.0127,3.3793,0.9102,1.0365,3.699,0.0111,0.4175,-0.0298,0.9474,78.9119,0.0,72.526,75.955,23.858,24.986,8.35,27.9842,33.4847,33.4868,26.3612,26.3628
SKQ202010S,GAK1,B,2020-07-03T00:38:55,-149.4653,59.843,270.2,3,252.92,3,5.96,5.9597,3.3046,3.3049,0.012,3.3809,1.0584,1.2421,4.1321,0.011,0.9044,-0.0478,0.5044,88.1524,0.0,100.323,104.618,32.993,34.406,18.09,27.9969,33.4251,33.4289,26.3132,26.3162
SKQ202010S,GAK1,B,2020-07-03T00:39:01,-149.4653,59.843,270.2,3,252.65,4,5.9597,5.9592,3.3047,3.305,0.0126,3.3337,1.0579,1.2395,4.1141,0.011,0.9156,-0.0322,0.5218,87.769,0.0,99.909,104.049,32.857,34.219,18.31,27.6146,33.426,33.4301,26.3139,26.3172
SKQ202010S,GAK1,B,2020-07-03T00:41:57,-149.4653,59.843,270.2,3,202.28,5,5.9339,5.9321,3.2829,3.283,0.0115,3.1198,1.2516,1.5115,4.3918,0.011,3.4097,-0.0597,0.2605,93.6951,0.0,135.344,141.347,44.419,46.388,68.19,25.88,33.2314,33.2346,26.1633,26.1661
SKQ202010S,GAK1,B,2020-07-03T00:42:08,-149.4653,59.843,270.2,3,202.37,6,5.9327,5.9344,3.2827,3.283,0.0115,3.1682,1.2499,1.5156,4.392,0.011,3.4121,-0.0591,0.2603,93.6994,0.0,135.102,141.936,44.338,46.583,68.24,26.2723,33.2312,33.2323,26.1633,26.164
SKQ202010S,GAK1,B,2020-07-03T00:44:40,-149.4653,59.843,270.2,3,152.01,7,5.6709,5.6717,3.2124,3.2125,0.0113,2.5297,1.6466,2.066,4.4128,0.011,5.0,-0.0657,0.2414,94.1434,0.0,209.305,219.58,68.012,71.353,100.0,21.0936,32.7193,32.72,25.7905,25.7909
SKQ202010S,GAK1,B,2020-07-03T00:44:47,-149.4653,59.843,270.2,3,151.87,8,5.6709,5.6723,3.2124,3.2129,0.0115,2.5362,1.6459,2.0629,4.4175,0.011,4.8989,-0.0591,0.2372,94.2433,0.0,208.883,218.377,67.875,70.965,97.98,21.1469,32.7195,32.7244,25.7906,25.7942
SKQ202010S,GAK1,B,2020-07-03T00:48:00,-149.4653,59.843,270.2,3,126.53,9,5.7466,5.7762,3.1889,3.189,0.0114,2.0883,1.8547,2.3604,4.47,0.0109,3.6658,-0.0621,0.1898,95.3648,0.0,247.02,259.432,80.216,84.288,73.32,17.514,32.3942,32.3667,25.5244,25.4992
SKQ202010S,GAK1,B,2020-07-03T00:50:48,-149.4653,59.843,270.2,3,100.93,10,5.7339,5.7373,3.1688,3.1689,0.0125,1.8938,1.9178,2.4487,4.4866,0.0151,5.0,-0.0364,0.175,95.7184,0.001,258.424,271.239,83.769,87.929,100.0,15.9365,32.1926,32.1905,25.3666,25.3646
SKQ202010S,GAK1,B,2020-07-03T00:50:55,-149.4653,59.843,270.2,3,101.25,11,5.738,5.7374,3.1687,3.1689,0.0127,1.8989,1.9201,2.4464,4.4843,0.0116,4.9831,-0.0316,0.1771,95.6689,0.0001,259.046,270.607,83.975,87.724,99.66,15.9779,32.1874,32.1905,25.362,25.3646
SKQ202010S,GAK1,B,2020-07-03T00:53:23,-149.4653,59.843,270.2,3,75.82,12,5.8509,5.856,3.159,3.16,0.0126,1.6785,1.9804,2.5378,4.4645,0.0713,5.0,-0.034,0.1947,95.2478,0.0177,267.043,281.87,86.666,91.493,100.0,14.1903,31.983,31.9899,25.1872,25.192
SKQ202010S,GAK1,B,2020-07-03T00:55:53,-149.4653,59.843,270.2,3,50.78,13,7.3688,7.3558,3.2491,3.2497,0.0164,1.1019,2.1136,2.7166,4.5376,0.7613,5.0,0.0564,0.1298,96.8063,0.564,281.935,295.404,94.481,98.978,100.0,9.5143,31.5753,31.5932,24.6729,24.6887
SKQ202010S,GAK1,B,2020-07-03T00:57:39,-149.4653,59.843,270.2,3,40.38,14,8.257,8.3053,3.3199,3.3219,0.0336,0.9924,2.1391,2.7382,4.4942,1.1976,4.9999,0.4701,0.1683,95.8805,1.75,280.634,289.401,95.921,99.008,100.0,8.6264,31.531,31.5085,24.5137,24.489
SKQ202010S,GAK1,B,2020-07-03T00:59:28,-149.4653,59.843,270.2,3,30.82,15,9.3308,9.3524,3.3833,3.385,0.0444,0.751,2.1881,2.8246,4.4661,1.7244,5.0,0.7297,0.1934,95.2803,6.19,280.745,295.172,98.07,103.157,100.0,6.6683,31.2431,31.2409,24.1267,24.1216
SKQ202010S,GAK1,B,2020-07-03T01:01:44,-149.4653,59.843,270.2,3,20.29,16,10.1084,10.1542,3.4275,3.4313,0.2384,0.4856,2.3308,3.0221,3.8322,2.5932,5.0,5.3861,0.8058,81.754,46.5,299.4,314.299,106.209,111.604,100.0,4.5157,31.0231,31.0218,23.8307,23.8221
SKQ202010S,GAK1,B,2020-07-03T01:01:53,-149.4653,59.843,270.2,3,20.32,17,10.16,10.16,3.4315,3.4318,0.2696,0.5597,2.3323,3.0218,3.781,2.5891,5.0,6.1342,0.8597,80.6608,46.1,299.597,314.382,106.395,111.648,100.0,5.1175,31.0185,31.0221,23.8186,23.8214
SKQ202010S,GAK1,B,2020-07-03T01:03:48,-149.4653,59.843,270.2,3,10.37,18,11.4535,11.5225,3.5058,3.5092,0.0584,0.4797,2.4295,3.152,4.1652,3.5245,5.0,1.0646,0.4724,88.8601,398.0,305.829,321.168,111.38,117.117,100.0,4.4682,30.6667,30.6424,23.3242,23.293
SKQ202010S,GAK1,B,2020-07-03T01:03:58,-149.4653,59.843,270.2,3,10.37,19,11.4789,11.4389,3.5065,3.5057,0.0515,0.4827,2.4274,3.1496,4.1539,3.5268,5.0,0.8996,0.4834,88.6177,400.0,305.659,321.402,111.366,117.024,100.0,4.4926,30.6523,30.6774,23.3085,23.3351
SKQ202010S,GAK1,B,2020-07-03T01:06:02,-149.4653,59.843,270.2,3,2.88,20,13.0854,13.0664,3.4485,3.4498,0.0223,0.4496,2.3531,3.0397,4.1414,4.1144,5.0,0.1981,0.4954,88.3512,1590.0,286.483,301.055,106.57,111.968,100.0,4.2243,28.8312,28.8584,21.6033,21.6278
SKQ202010S,GAK1,B,2020-07-03T01:06:15,-149.4653,59.843,270.2,3,2.73,21,13.1915,13.1339,3.441,3.4445,0.022,0.3569,2.3503,3.0353,4.1482,4.1471,5.0,0.1903,0.4888,88.4975,1710.0,285.925,300.326,106.484,111.774,100.0,3.4725,28.6818,28.7579,21.4676,21.5374
SKQ202010S,GAK2,B,2020-07-04T13:11:33,-149.3258,59.6915,226.0,5,221.99,1,5.9409,5.9418,3.2934,3.2936,0.0122,3.1387,1.1352,1.3542,4.1263,0.011,0.228,-0.0442,0.51,88.0306,0.0,113.875,119.772,37.407,39.345,4.56,26.0328,33.3327,33.3348,26.2426,26.2441
SKQ202010S,GAK2,B,2020-07-04T13:14:31,-149.3258,59.6915,226.0,5,202.2,2,5.9218,5.922,3.2851,3.2853,0.0114,3.1549,1.1901,1.4301,4.2518,0.011,1.2043,-0.0615,0.3901,90.7079,0.0,123.981,130.19,40.689,42.728,24.08,26.1644,33.2681,33.2706,26.1939,26.1958
SKQ202010S,GAK2,B,2020-07-04T13:14:40,-149.3258,59.6915,226.0,5,202.14,3,5.9217,5.9219,3.285,3.2852,0.0117,3.115,1.1895,1.4297,4.2666,0.011,1.2141,-0.055,0.3762,91.0242,0.0,123.937,129.991,40.675,42.662,24.28,25.8408,33.2678,33.27,26.1936,26.1953
SKQ202010S,GAK2,B,2020-07-04T13:18:32,-149.3258,59.6915,226.0,5,151.86,4,5.7545,5.7546,3.2358,3.2359,0.0115,2.7923,1.5033,1.8667,4.4015,0.0111,3.7008,-0.0597,0.2517,93.9025,0.0,181.556,190.497,59.191,62.107,74.02,23.2238,32.9018,32.9037,25.9247,25.9262
SKQ202010S,GAK2,B,2020-07-04T13:21:03,-149.3258,59.6915,226.0,5,126.25,5,5.6288,5.6299,3.1918,3.1918,0.0115,2.3512,1.7684,2.2375,4.5152,0.0107,4.9673,-0.0597,0.1496,96.3288,0.0,231.544,242.619,75.064,78.656,99.35,19.6464,32.54,32.5394,25.6536,25.653
SKQ202010S,GAK2,B,2020-07-04T13:23:15,-149.3258,59.6915,226.0,5,101.07,6,6.0541,6.0543,3.197,3.1973,0.0127,1.7243,1.9678,2.5165,4.5539,0.0107,4.9978,-0.0304,0.1155,97.154,0.0,265.243,278.052,86.633,90.819,99.96,14.5617,32.2041,32.2064,25.3373,25.3391
SKQ202010S,GAK2,B,2020-07-04T13:23:22,-149.3258,59.6915,226.0,5,100.84,7,6.0551,6.0558,3.1971,3.1973,0.0126,1.723,1.9685,2.5185,4.5525,0.0105,5.0,-0.034,0.1167,97.1253,0.0,265.594,278.297,86.75,90.902,100.0,14.5516,32.2036,32.2059,25.3368,25.3385
SKQ202010S,GAK2,B,2020-07-04T13:25:48,-149.3258,59.6915,226.0,5,76.01,8,6.4901,6.4902,3.2257,3.226,0.0159,1.6219,2.002,2.567,4.5644,0.0105,2.218,0.0438,0.1063,97.3785,0.0,267.729,281.234,88.282,92.737,44.36,13.7313,32.1226,32.1248,25.2188,25.2205
SKQ202010S,GAK2,B,2020-07-04T13:28:17,-149.3258,59.6915,226.0,5,50.89,9,7.5058,7.5069,3.2969,3.2972,0.0391,1.365,2.0529,2.6366,4.4967,0.0106,4.6118,0.6011,0.166,95.9348,0.0,268.782,282.73,90.612,95.318,92.24,11.6478,31.9638,31.966,24.9596,24.9611
SKQ202010S,GAK2,B,2020-07-04T13:28:33,-149.3258,59.6915,226.0,5,50.82,10,7.5143,7.5127,3.2975,3.2977,0.0392,1.2994,2.0549,2.6377,4.4992,0.0106,4.7718,0.6041,0.1639,95.9858,0.0,269.528,282.969,90.88,95.411,95.44,11.1159,31.9623,31.9659,24.9572,24.9603
SKQ202010S,GAK2,B,2020-07-04T13:30:28,-149.3258,59.6915,226.0,5,40.8,11,7.4067,7.4337,3.266,3.2693,0.0462,1.242,2.0543,2.6391,4.4693,0.012,4.8817,0.7734,0.1905,95.3488,0.0002,270.355,283.865,90.779,95.382,97.63,10.6509,31.7272,31.7377,24.7872,24.7918
SKQ202010S,GAK2,B,2020-07-04T13:32:19,-149.3258,59.6915,226.0,5,30.41,12,8.5186,8.5136,3.3484,3.3484,0.1127,0.9525,2.1273,2.7389,4.3357,0.1249,4.8906,2.3678,0.3119,92.4988,0.0361,275.429,289.39,94.742,99.536,97.81,8.3026,31.6001,31.6041,24.5295,24.5334
SKQ202010S,GAK2,B,2020-07-04T13:34:16,-149.3258,59.6915,226.0,5,20.45,13,9.4912,9.4894,3.4136,3.4137,0.1806,0.7372,2.2152,2.8557,4.0584,0.6725,4.9963,3.9974,0.5764,86.5811,0.437,283.306,297.324,99.438,104.356,99.93,6.5562,31.4167,31.4194,24.2371,24.2395
SKQ202010S,GAK2,B,2020-07-04T13:34:25,-149.3258,59.6915,226.0,5,20.39,14,9.4987,9.4978,3.414,3.4141,0.1802,0.7091,2.2134,2.857,4.0631,0.684,5.0,3.9896,0.5717,86.6816,0.452,283.047,297.598,99.361,104.468,100.0,6.3288,31.4144,31.4161,24.2341,24.2356
SKQ202010S,GAK2,B,2020-07-04T13:36:38,-149.3258,59.6915,226.0,5,10.28,15,10.1307,10.2461,3.4262,3.4316,0.1662,0.4804,2.3728,3.0796,3.8465,1.8062,5.0,3.6541,0.7909,82.0598,7.5,305.081,321.082,108.255,114.182,100.0,4.4737,30.9949,30.9508,23.805,23.7516
SKQ202010S,GAK2,B,2020-07-04T13:38:51,-149.3258,59.6915,226.0,5,3.17,16,13.1212,13.0955,3.6289,3.6271,0.0735,0.5106,2.4423,3.1698,3.9995,2.5664,4.7885,1.427,0.6349,85.323,43.8,296.366,312.872,111.61,117.766,95.77,4.719,30.4813,30.4845,22.8716,22.8791
SKQ202010S,GAK2,B,2020-07-04T13:39:09,-149.3258,59.6915,226.0,5,3.1,17,13.1398,13.098,3.6302,3.6274,0.0712,0.4613,2.4415,3.1674,3.9992,2.5795,4.7267,1.3732,0.6352,85.3177,45.1,296.007,311.97,111.515,117.434,94.53,4.3195,30.4786,30.4857,22.866,22.8795
SKQ202010S,GAK3,B,2020-07-04T15:58:44,-149.1877,59.5525,214.0,6,207.27,1,5.9016,5.9017,3.2782,3.2784,0.0114,3.1217,1.2477,1.5128,4.0123,0.011,0.2696,-0.0627,0.622,85.5984,0.0,134.674,141.767,44.158,46.485,5.39,25.8946,33.2084,33.2109,26.1491,26.1511
SKQ202010S,GAK3,B,2020-07-04T16:00:51,-149.1877,59.5525,214.0,6,202.48,2,5.9002,5.9005,3.2777,3.278,0.0117,3.0252,1.2504,1.5169,4.0292,0.011,0.5061,-0.0556,0.6052,85.9584,0.0,135.19,142.292,44.325,46.655,10.12,25.1123,33.2063,33.2091,26.1477,26.1499
SKQ202010S,GAK3,B,2020-07-04T16:05:19,-149.1877,59.5525,214.0,6,151.28,3,5.7861,5.7863,3.2446,3.2449,0.0114,2.8188,1.4734,1.827,4.482,0.0109,3.0525,-0.0621,0.1792,95.6195,0.0,176.251,185.025,57.533,60.399,61.05,23.4384,32.9709,32.9736,25.9755,25.9776
SKQ202010S,GAK3,B,2020-07-04T16:08:04,-149.1877,59.5525,214.0,6,126.6,4,5.7258,5.7259,3.2117,3.2119,0.0116,2.4195,1.7248,2.1824,4.5341,0.0108,4.2834,-0.0574,0.1329,96.7313,0.0,223.186,234.509,72.59,76.274,85.67,20.2004,32.6707,32.6731,25.7455,25.7474
SKQ202010S,GAK3,B,2020-07-04T16:11:07,-149.1877,59.5525,214.0,6,101.42,5,5.6955,5.6958,3.1952,3.1955,0.0116,2.3305,1.8047,2.2926,4.5289,0.0182,5.0,-0.0585,0.1375,96.6218,0.0018,237.059,249.296,76.965,80.94,100.0,19.4785,32.5267,32.5292,25.6352,25.6372
SKQ202010S,GAK3,B,2020-07-04T16:11:20,-149.1877,59.5525,214.0,6,101.5,6,5.6964,5.6958,3.1952,3.1955,0.0114,2.3179,1.8036,2.2929,4.5297,0.0149,5.0,-0.0621,0.1368,96.6372,0.0009,237.188,249.151,77.008,80.893,100.0,19.376,32.526,32.5294,25.6346,25.6373
SKQ202010S,GAK3,B,2020-07-04T16:14:27,-149.1877,59.5525,214.0,6,75.84,7,5.8572,5.8601,3.1878,3.1882,0.0121,2.0309,1.9125,2.4435,4.5416,0.1813,4.74,-0.0448,0.1263,96.8919,0.058,255.384,268.534,83.09,87.375,94.8,17.0482,32.3007,32.3015,25.4374,25.4377
