% Columns:
% 1. Instrument
% 2. Date
% 3. Latitude
% 4. Longitude
% 5. GMT
% 6. Vessel
% 7. Cruise
% 8. Station Name
% 9. Consecutive Station Number
% 10. Station Bottom Depth
% 11. Principal Investigator
% 12. Project
% 13. Funding Agency
% 14. Geographic Region
SBE911+, May 07 2007,60.0193,-149.3523, 21:05:40 ,TX,TXS07,RES2.5,001,295, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 10 2007,58.8835,-148.5587, 02:29:19,TX,TXS07,GAK7I,034,300, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 10 2007,59.6267,-149.2577, 15:18:06,TX,TXS07,GAK2I,035,213, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 10 2007,59.6907,-149.3263, 16:01:39,TX,TXS07,GAK2,036,232, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 10 2007,59.7667,-149.3965, 17:11:19 ,TX,TXS07,GAK1I,037,258, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 10 2007,59.8455,-149.468, 18:02:38,TX,TXS07,GAK1,038,269, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 10 2007,59.845,-149.4693, 18:44:08,TX,TXS07,GAK1,039,269, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 10 2007,59.8442,-149.4747, 19:26:34,TX,TXS07,GAK1,040,269, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 10 2007,59.8445,-149.4775, 19:51:47,TX,TXS07,GAK1,041,269, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,59.9215,-147.828, 01:13:35,TX,TXS07,MS4,042,120, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,59.9322,-147.8545, 01:46:01,TX,TXS07,MS3,043,165, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,59.945,-147.8958, 02:27:54,TX,TXS07,MS2,044,192, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,59.9538,-147.9298, 02:50:28,TX,TXS07,MS1,045,165, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,60.192,-147.6982, 04:47:42,TX,TXS07,HB1,046,243, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,60.1792,-147.6412, 05:16:27,TX,TXS07,HB2,047,176, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,60.163,-147.5748, 05:56:48,TX,TXS07,HB3,048,85, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,60.1472,-147.5015, 06:23:19,TX,TXS07,HB4,049,107, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,60.5353,-147.8057, 15:25:41,TX,TXS07,PWS2,050,739, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,60.3767,-147.9375, 17:20:51,TX,TXS07,PWS1,051,288, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,60.2795,-147.9853, 19:00:05,TX,TXS07,KIP2,052,568, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,60.277,-147.9888, 20:01:14,TX,TXS07,KIP2,053,568, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,60.2753,-147.9912, 20:42:11,TX,TXS07,KIP2,054,568, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
SBE911+, May 11 2007,60.2785,-147.9847, 21:00:33,TX,TXS07,KIP2,055,568, Weingartner, Gulf of Alaska LTOP, NPRB, Gulf of Alaska 
